Date,Open,High,Low,Close,Adj Close,Volume
1/29/93,43.96875,43.96875,43.75,43.9375,24.684107,1003200
2/1/93,43.96875,44.25,43.96875,44.25,24.859667,480500
2/2/93,44.21875,44.375,44.125,44.34375,24.91234,201300
2/3/93,44.40625,44.84375,44.375,44.8125,25.17568,529400
2/4/93,44.96875,45.09375,44.46875,45,25.281013,531500
2/5/93,44.96875,45.0625,44.71875,44.96875,25.263462,492100
2/8/93,44.96875,45.125,44.90625,44.96875,25.263462,596100
2/9/93,44.8125,44.8125,44.5625,44.65625,25.087898,122100
2/10/93,44.65625,44.75,44.53125,44.71875,25.123011,379600
2/11/93,44.78125,45.125,44.78125,44.9375,25.245888,19500
2/12/93,44.875,44.875,44.59375,44.59375,25.052788,42500
2/16/93,44.46875,44.46875,43.40625,43.46875,24.420759,374800
2/17/93,43.46875,43.53125,43.28125,43.4375,24.40321,210900
2/18/93,43.9375,43.9375,42.8125,43.40625,24.385658,378100
2/19/93,43.40625,43.5625,43.34375,43.5625,24.473434,34900
2/22/93,43.6875,43.78125,43.5625,43.71875,24.561218,513600
2/23/93,43.84375,43.875,43.46875,43.6875,24.543648,373700
2/24/93,43.71875,44.25,43.71875,44.25,24.859667,26300
2/25/93,44.21875,44.375,44.125,44.34375,24.91234,44500
2/26/93,44.4375,44.4375,44.1875,44.40625,24.94746,66200
3/1/93,44.5625,44.5625,44.21875,44.28125,24.877226,66500
3/2/93,44.3125,44.9375,44.25,44.9375,25.245888,182400
3/3/93,45,45.15625,44.9375,45.125,25.351248,280100
3/4/93,45.1875,45.1875,44.875,44.875,25.210793,89500
3/5/93,44.9375,45.125,44.71875,44.75,25.14057,40000
3/8/93,44.84375,45.75,44.84375,45.75,25.702368,50800
3/9/93,45.65625,45.6875,45.5,45.59375,25.614582,169300
3/10/93,45.59375,45.6875,45.40625,45.6875,25.667246,194400
3/11/93,45.71875,45.84375,45.5,45.5625,25.597034,70900
3/12/93,45.1875,45.21875,44.8125,45.09375,25.333681,643600
3/15/93,45.0625,45.3125,45.0625,45.3125,25.456579,310800
3/16/93,45.3125,45.4375,45.3125,45.3125,25.456579,30800
3/17/93,45.25,45.25,44.96875,45.03125,25.298582,21800
3/18/93,45.21875,45.5,45.21875,45.3125,25.456579,59300
3/19/93,45.28125,45.28125,45.03125,45.03125,25.418055,66900
3/22/93,44.59375,44.875,44.5625,44.78125,25.276937,183400
3/23/93,44.90625,44.9375,44.8125,44.875,25.329861,55200
3/24/93,44.8125,45.0625,44.59375,44.875,25.329861,37200
3/25/93,44.90625,45.25,44.84375,45.15625,25.488602,110100
3/26/93,45.125,45.15625,44.875,44.90625,25.347496,101500
3/29/93,44.9375,45.3125,44.9375,45.09375,25.453339,87100
3/30/93,45.15625,45.21875,45.09375,45.21875,25.523899,56000
3/31/93,45.34375,45.46875,45.1875,45.1875,25.506252,111600
4/1/93,45.25,45.25,44.9375,45.03125,25.418055,129500
4/2/93,44.65625,44.65625,44.09375,44.09375,24.888885,59400
